iter	Passed	Remaining
0	146	146440
1	146	73313
2	147	48891
3	147	36685
4	147	29397
5	148	24532
6	148	21044
7	148	18436
8	148	16404
9	149	14775
10	149	13442
11	149	12327
12	150	11388
13	150	10591
14	150	9896
15	150	9283
16	151	8743
17	151	8259
18	151	7833
19	152	7450
20	152	7102
21	152	6782
22	152	6495
23	153	6232
24	153	5987
25	153	5764
26	154	5556
27	154	5361
28	154	5180
29	155	5012
30	155	4853
31	155	4705
32	155	4565
33	155	4432
34	156	4308
35	156	4192
36	156	4082
37	157	3980
38	157	3880
39	157	3784
40	157	3694
41	158	3610
42	158	3530
43	158	3452
44	159	3377
45	159	3307
46	159	3240
47	160	3174
48	160	3113
49	160	3053
50	160	2995
51	161	2940
52	161	2888
53	161	2837
54	162	2786
55	162	2738
56	162	2692
57	162	2647
58	163	2604
59	163	2563
60	163	2522
61	164	2482
62	164	2442
63	164	2405
64	164	2369
65	164	2334
66	165	2300
67	165	2268
68	165	2236
69	165	2205
70	166	2174
71	166	2145
72	166	2116
73	166	2089
74	167	2063
75	167	2036
76	167	2012
77	168	1987
78	168	1963
79	168	1939
80	168	1915
81	169	1892
82	169	1871
83	169	1848
84	169	1827
85	170	1806
86	170	1786
87	170	1767
88	170	1748
89	171	1731
90	171	1714
91	171	1696
92	172	1678
93	172	1661
94	172	1644
95	172	1627
96	173	1611
97	173	1595
98	173	1580
99	174	1566
100	174	1550
101	174	1535
102	174	1521
103	175	1507
104	175	1494
105	175	1481
106	175	1467
107	176	1454
108	176	1442
109	176	1430
110	177	1418
111	177	1406
112	177	1393
113	177	1382
114	178	1371
115	178	1360
116	178	1349
117	178	1337
118	179	1327
119	179	1316
120	179	1305
121	180	1295
122	180	1285
123	180	1275
124	180	1265
125	181	1256
126	181	1247
127	181	1238
128	182	1230
129	182	1221
130	182	1212
131	182	1203
132	183	1194
133	183	1185
134	183	1177
135	184	1169
136	184	1160
137	184	1152
138	184	1144
139	184	1136
140	185	1128
141	185	1121
142	185	1113
143	186	1106
144	186	1100
145	186	1092
146	187	1085
147	187	1078
148	187	1071
149	187	1064
150	188	1057
151	188	1051
152	188	1044
153	188	1037
154	189	1030
155	189	1024
156	189	1017
157	189	1011
158	190	1005
159	190	999
160	190	993
161	191	988
162	191	982
163	191	976
164	191	970
165	191	964
166	192	958
167	192	953
168	192	947
169	192	941
170	193	936
171	193	931
172	193	925
173	193	920
174	194	915
175	194	910
176	194	905
177	195	900
178	195	896
179	196	892
180	196	887
181	196	883
182	196	879
183	197	874
184	197	869
185	197	864
186	197	859
187	198	855
188	198	851
189	198	846
190	198	842
191	199	838
192	199	833
193	199	829
194	199	825
195	200	821
196	200	817
197	200	813
198	201	809
199	201	805
200	201	801
201	201	797
202	202	793
203	202	790
204	202	786
205	203	782
206	203	778
207	203	774
208	203	771
209	203	767
210	204	763
211	204	760
212	204	756
213	204	752
214	205	748
215	205	745
216	205	741
217	206	739
218	206	736
219	206	733
220	207	730
221	207	727
222	207	723
223	208	720
224	208	717
225	208	714
226	208	711
227	209	708
228	209	705
229	209	702
230	210	699
231	210	696
232	210	693
233	210	690
234	211	687
235	211	684
236	211	681
237	212	678
238	212	675
239	212	673
240	212	670
241	213	667
242	213	664
243	213	661
244	213	658
245	213	655
246	214	653
247	214	650
248	214	647
249	214	644
250	215	642
251	215	639
252	215	637
253	216	635
254	216	633
255	216	630
256	217	628
257	217	625
258	217	623
259	217	620
260	218	617
261	218	615
262	218	612
263	218	610
264	219	607
265	219	605
266	219	603
267	219	600
268	220	598
269	220	596
270	220	594
271	221	592
272	221	590
273	221	587
274	222	585
275	222	583
276	222	580
277	222	578
278	223	576
279	223	574
280	223	572
281	223	570
282	224	568
283	224	565
284	224	563
285	225	561
286	225	559
287	225	557
288	225	555
289	226	554
290	226	552
291	226	550
292	227	548
293	227	546
294	227	544
295	227	542
296	228	540
297	228	538
298	228	536
299	229	534
300	229	532
301	229	530
302	229	529
303	230	527
304	230	525
305	230	523
306	230	521
307	231	519
308	231	517
309	231	515
310	232	514
311	232	512
312	232	510
313	232	508
314	233	506
315	233	505
316	233	503
317	234	502
318	234	500
319	234	498
320	235	497
321	235	495
322	235	493
323	235	492
324	236	490
325	236	488
326	236	487
327	237	485
328	237	483
329	237	482
330	237	480
331	238	479
332	238	477
333	238	476
334	238	474
335	239	472
336	239	471
337	239	469
338	240	468
339	240	466
340	240	464
341	240	463
342	241	461
343	241	460
344	241	458
345	241	457
346	242	455
347	242	454
348	242	452
349	243	451
350	243	449
351	243	448
352	244	447
353	244	445
354	244	444
355	244	442
356	245	441
357	245	440
358	245	438
359	245	437
360	246	435
361	246	434
362	246	432
363	247	431
364	247	430
365	247	429
366	247	427
